skill_id,ten_ky_nang
1,Datenanalyse
2,Datenbereinigung
3,Datenvisualisierung (DataViz)
4,Fallstudie
5,Job-Portfolio
6,Prasentation
7,R Markdown
8,R-Programmierung
9,Rstudio
10,Tabellenkalkulation
11,Tableau-Software
12,3d reconstruction
13,AB Testing
14,AB Testing and Model Deployment
15,AI Productivity
16,AI for Good project framework
17,AI strategy
18,AI terminology
19,API Integration
20,API endpoints
21,API security
22,APIs
23,AWS Account Management
24,AWS Certification Preparation
25,AWS Identity and Access Management
26,AWS Management Console
27,AWS cloud
28,Ableton
29,Academic Writing
30,Access Control
31,Access Structure
32,Accessibility
33,Accounting
34,Accounting Analysis
35,Accounting Concepts and Measurement
36,Accounting Cycle
37,Accounts receivable and cash receipts
38,Acercamiento al cliente
39,Active Listening
40,Ad Management
41,Adaptability
42,Adaptation
43,Adjective
44,Adobe XD
45,Adquisiciones
46,Advertising Effectiveness Evaluation
47,Advice for Model Development
48,Aerospace Engineering
49,Affordable Care Act
50,Agile Leadership
51,Agile Management
52,Agile PM
53,Agile Software Development
54,Agile Supply Chain Planning
55,Agile and Scrum
56,Agregacao de dados
57,Agregacion de datos
58,Agregation des donnees
59,Air Quality Monitoring
60,Airplane conception and validation
61,Alcatel Business Communications
62,Algorithm Design
63,Algorithmes et techniques de chiffrement
64,Algorithmic Trading
65,Algorithms
66,Algorithms On Strings
67,Algoritma dan Teknik Enkripsi
68,Allergyasthma.
69,Amazon Web Services (Amazon AWS)
70,American Law
71,American Law Policy
72,Amplify your presentations by having ChatGPT critique your slides or other important documents
73,Analise dos dados
74,Analisis
75,Analisis y estadisticas de marketing
76,Analyse de donnees
77,Analyse des donnees
78,Analysis for Instructional Design
79,Analysis of Algorithms
80,Analytics
81,Analyze Metrics
82,Analyze and model losses in magnetic components
83,Anatomy
84,Anatomy of metastasis
85,Android Software Development
86,Android Studio
87,Angularjs
88,Animal
89,Animal Behavior
90,Anomaly Detection
91,Ansible
92,Apache Airflow
93,Apache Hadoop
94,Apache Kafka
95,Apache Spark
96,Apigee API Platform
97,AppSheet
98,AppSheet Automation
99,Application Design
100,Application Programming Interfaces (API)
101,Application development
102,Application of Financial Statistics and Probability
103,Applied Creativity
104,Applied aerodynamics
105,Appreciative Inquiry
106,Approvisionnement
107,Approximation Algorithm
108,Apresentacao
109,Architecting on AWS
110,Architecture
111,Arduino
112,Armature
113,Arrays
114,Art
115,Art History
116,Artifical Intelligence
117,Artificial Intelligence (AI)
118,Artificial Neural Network
119,Asesoramiento
120,Asking Effective Questions
121,Assembly Language
122,Assembly Languages
123,Assertiveness
124,Asset
125,Asset Accounting
126,Asset Allocation
127,Asset Management
128,Astrobiology
129,Ataques historicos a la ciberseguridad
130,Attaques historiques
131,Attention Models
132,Audio Editing
133,Audio Production
134,Audio Recording
135,Audio processing
136,Audit
137,Aufgabenschatzung
138,Augmentation
139,Augmented Intelligence
140,Augmented reality (AR)
141,Authentication
142,Authentication and authorization
143,Autocad
144,Autocorrect
145,Autodesk
146,Autodesk Revit Architecture
147,Autoimmunity
148,Automate the editing and management of images and video while cataloging it
149,Automate the extraction of structured data from documents and the creation of other documents and PowerPoint
150,Automated Machine Learning (AutoML)
151,Automating System Administration Tasks with Python
152,Automation
153,Autoscaling
154,Backpropagation
155,Backup
156,Backups
157,Backward Induction
158,Balance Sheet
159,Bank Reconciliations
160,Banking
161,Base Address
162,Bash
163,Bash (Unix Shell)
164,Bash Scripting
165,Basic Descriptive Statistics
166,Basic Programming Language
167,Basic Python Data Structures
168,Basic Python Syntax
169,Basic understanding of macOS helpful
170,Basics of Databases (SQLNoSQL)
171,Basis (Linear Algebra)
172,Basis Of Accounting
173,Bayes' Theorem
174,Bayesian Game
175,Bayesian Network
176,Bayesian Probability
177,Bayesian Statistics
178,Beam Robotics
179,Behavioral Economics
180,Behavioral Finance
181,Behavioral Health
182,Belief Propagation
183,Beschaffung
184,Bestimmung der Stichprobengroe
185,Big Data
186,Bigquery
187,Binary Classification
188,Binary Code
189,Binomial Distribution
190,Bioconductor
191,Biodiversity
192,Biodiversity Monitoring
193,Bioinformatics
194,Bioinformatics Algorithms
195,Bioinformatics Analysis
196,Biological Neuron Model
197,Biology
198,Biopython
199,Biostatistics
200,Biotechnology
201,Black-box Testing Techniques
202,Blockchain
203,Blockchain (Database)
204,Blockchains
205,Bonds
206,Bookkeeping
207,Bootstrap
208,Brain
209,Brainstorming
210,Brand Communication
211,Brand Equity
212,Brand Identity
213,Brand Management
214,Brand Marketing
215,Branding
216,Branding Communication
217,Broadcast
218,Budget
219,Build a data model
220,Build a personal brand on LinkedIn
221,Build a simple UI using the Layout Editor
222,Build and sustain a social media community
223,Building Relationships
224,Building customer loyalty
225,Business
226,Business Analysis
227,Business Analytics
228,Business Applications
229,Business Case Analysis
230,Business Communication
231,Business Intelligence
232,Business Intelligence (BI)
233,Business Law
234,Business Marketing
235,Business Model
236,Business Modeling
237,Business Plan
238,Business Planning
239,Business Process
240,Business Processes and Requirements
241,Business Strategy
242,Business Transformation
243,Business Value
244,Business Writing
245,Business and process analysis
246,Bussiness
247,C
248,C (Programming Language)
249,C Programming
250,C Sharp (C) (Programming Language)
251,C coding
252,C programming
253,CICD
254,CICD Pipeline
255,COBOL Divisions
256,COBOL Structure
257,COBOL coding
258,CRISP-DM
259,CRM
260,CX
261,Cadre de cybersecurite (CSF) du NIST
262,Calculating Dosages
263,Calculos de dados
264,Calculos en torno a los datos
265,Calculs de donnees
266,Calculus
267,Camera and imaging
268,Campaign Management
269,Cancer Biology
270,Cancer treatment
271,Capabilities Analysis
272,Capital Budgeting
273,Cardiovascular understanding
274,Career
275,Career Development
276,Career Fulfillment
277,Cartography
278,Cascading Style Sheets (CSS)
279,Case Management
280,Cash Flow Analysis
281,Caso practico
282,Causal Inference
283,Causality
284,Centurylink
285,Change Management
286,Channel and Direct-to-Consumer Pricing
287,Character Strengths And Virtues
288,Chart
289,Charte de projet
290,ChatGPT
291,Chatbot
292,Chatterbot
293,Chemistry
294,Chinese Language
295,Choose social media platforms and tools
296,Chords
297,Ciberseguranca
298,Ciberseguridad
299,Civil Engineering
300,Classification Algorithms
301,Client Research and Analysis
302,Client engagement and communication
303,Climate Change
304,Clinical Data Management
305,Clinical Development
306,Clinical Experience
307,Clinical Research
308,Clinical Simulation
309,Clinical Trial Design
310,Clinical Trial Management
311,Clinical Trials
312,Clinical trial basics
313,Clinical trial diversity
314,Cloning and forking
315,Cloud API
316,Cloud Applications
317,Cloud Architecture
318,Cloud Computing
319,Cloud Computing Security
320,Cloud Databases
321,Cloud Governance Strategy
322,Cloud Hosting
323,Cloud Management
324,Cloud Native
325,Cloud Networks
326,Cloud Platforms
327,Cloud Services
328,Cloud Storage
329,Cloud Strategy
330,Cloud computing.
331,Cluster Sampling
332,Coaching
333,Code Debugging
334,Codeskulptor
335,Codigo binario
336,Coding
337,Coding Challenge
338,Cognitive Bias
339,Cognitive Science
340,Cold Calling
341,Coleta de Dados
342,Collaboration
343,Collaborative Filtering
344,Collaborative Working Environment
345,Collecte de donnees
346,Color Theory
347,Column Structure
348,Comercio electronico
349,Command line interface (CLI)
350,Command-Line Interface
351,Common Business Oriented Language (COBOL)
352,Common Drugs and Usages
353,Common Law
354,Communicating Results
355,Communicating scientific ideas
356,Communication
357,Communication Skills
358,Communication Theory
359,Communication and Engagement
360,Communication efficace
361,Communications Management
362,Community Change
363,Community Health
364,Comparative Genomics
365,Compete on the Internal Market
366,Competitive Analysis
367,Competitive Position
368,Compiler
369,Compliance
370,Compliance strategy
371,Components of GANs
372,Compose UI using Kotlin UI views
373,Compras
374,Comprehensive Unit-Based Safety Program (Cusp) Toolkit
375,Computation
376,Computational Biology
377,Computational Fluid Dynamics (CFD)
378,Computational Neuroscience
379,Computed Aided Design
380,Computer Architecture
381,Computer Graphics (CG)
382,Computer Network
383,Computer Programming
384,Computer Science
385,Computer Security Incident Management
386,Computer Vision
387,Computer-Aided Design (CAD)
388,Computer-Aided Engineering (CAE)
389,Computer-Aided Manufacturing
390,Comunicacao eficaz
391,Comunicacion efectiva
392,Concatenation
393,Concept Drift
394,Concept mapping and visualization
395,Conception Experience Utilisateur (UXD)
396,Conception de lexperience utilisateur (UXD)
397,Conditional Generation
398,Configuration Management
399,Conflict Management
400,Connect to and consume Azure services and third-party services
401,Console Applications
402,Consolization
403,Constitution
404,Construction Management
405,Consulting
406,Consumer Behaviour
407,Consumer Neuroscience
408,Contact Tracing
409,Contact management
410,Containers
411,Content Development
412,Content Marketing
413,Continuous Delivery
414,Continuous Integration
415,Contract Law
416,Contracts
417,Controllable Generation
418,Conversational design
419,Convolutional Neural Network
420,Convulsion
421,Cooking
422,Copy Editing
423,Copyright
424,Copywriting
425,Core Data
426,Corporate Branding
427,Corporate Finance
428,Corporate Governance
429,Corporate Investments
430,Correlation And Dependence
431,Corruption
432,Cortex-M
433,Cost
434,Cost Accounting
435,Cost Control
436,Cost Estimate
437,Cost-Based Pricing
438,CostBenefit Analysis
439,CountingWeighingMeasuring Medications
440,Create Oracle SQL Databases
441,Create a simple Android UI
442,Create an electronic composition
443,Create and edit a workbook with multiple sheets
444,Create and maintain professional looking documents
445,Create and manage presentations
446,Create custom patches in Strobe 2
447,Create custom synthesizer patches
448,Creating Financial Statements
449,Creating Pull Requests
450,Creative Thinking
451,Creative Writing
452,Creativity
453,Credit Risk Measurement and Management
454,Credit Technology
455,Criminal Justice
456,Criptografia
457,Crisis Intervention
458,Critical Thinking
459,Cross-Cultural Communication
460,Cross-Functional Team Dynamics
461,Crowdfunding
462,Crt0
463,Cryptocurrency
464,Cryptographic Attacks
465,Cryptography
466,Css Code
467,Css Frameworks
468,Cube and Rollup
469,Cuestionamiento
470,Cultura de la organizacion
471,Cultura organizacional
472,Culture organisationnelle
473,Custom Layers
474,Custom Loss Functions
475,Custom Training Loops
476,Custom and Exotic Models
477,Custom and Exotic Models with Functional API
478,Customer Analytics
479,Customer Awareness
480,Customer Engagement
481,Customer Experience (CX) Design
482,Customer Lifetime Value
483,Customer Outreach
484,Customer Relationship Management (CRM)
485,Customer Satisfaction
486,Customer Service
487,Customer Support
488,Customer Value-based Pricing
489,Customer loyalty
490,Cyber
491,Cyber Attacks
492,Cyber Defense
493,Cyberattacks
494,Cybersecurite
495,Cybersecurity
496,DCGANs
497,DEI Program Assessment
498,DEI Strategic Planning
499,DEI Strategy
500,Damage Assessment
501,Dashboard
502,Dashboarding and Reporting
503,Dashboards and Charts
504,Data Aggregation
505,Data Analysis
506,Data Analysis and Modelling
507,Data Architecture
508,Data Breach
509,Data Calculations
510,Data Cleansing
511,Data Clustering Algorithms
512,Data Collection
513,Data Configuration
514,Data Engineer
515,Data Ethics
516,Data Evaluation
517,Data Integrity
518,Data Labeling at Scale
519,Data Lakes
520,Data Management
521,Data Manipulation
522,Data Mining
523,Data Model
524,Data Modeling
525,Data Pipelines
526,Data Science
527,Data Science Methodology
528,Data Security
529,Data Store
530,Data Structure
531,Data Structure Design
532,Data Transmission
533,Data Validation
534,Data Visualization (DataViz)
535,Data Warehouse
536,Data Warehousing
537,Data analysis with R
538,Data ingestion
539,Data storytelling
540,Data transformation
541,Data-Informed Decision-Making
542,Data-driven decisions
543,Database (DBMS)
544,Database Architecture
545,Database Optimization
546,Datenaggregation
547,Datenanalyse
548,Datenberechnungen
549,Datenbereinigung
550,Datenerhebung
551,Datenethik
552,Datenintegritat
553,Datenvisualisierung (DataViz)
554,De-escalation
555,Debogage
556,Debriefing
557,Debt Management Plan
558,Debugging
559,Debugging techniques
560,Deception
561,Decision Support System
562,Decision Tree
563,Decision Trees
564,Decision-Making
565,Deep Learning
566,Delegation
567,Delete from Oracle SQL Databases
568,Delta Lake
569,Demand Forecasting
570,Dental Healthcare Organization Operations
571,Deontologie
572,Deploy and operationalize machine learning solutions
573,Deployment Pipelines
574,Depreciation
575,Derivatives
576,Derrivatives
577,Describe AI workloads and considerations
578,Describe an analytics workload on Azure
579,Describe core data concepts
580,Describe features of Natural Language Processing (NLP) workloads on Azure
581,Describe features of computer vision workloads on Azure
582,Describe features of conversational AI workloads on Azure
583,Describe fundamental principles of machine learning on Azure
584,Describe how to work with non-relational data on Azure
585,Describe how to work with relational data on Azure
586,Describe the apps and services available in a Microsoft 365 subscription
587,Design
588,Design Leadership
589,Design Theory
590,Design Thinking
591,Design a web application
592,Design and optimize inductors and transformers for switched-mode power converters
593,Design de experiencia do usuario (UXD)
594,Design equivalent-circuit models for lithium-ion battery cells
595,Determinacao do tamanho da amostra
596,Determinacion del tamano de la muestra
597,Determinants
598,Determination de la taille dechantillon
599,Develop Azure compute solutions
600,Develop for Azure storage
601,Developing Power
602,Devops
603,Diagnostic differentiel et comorbidites
604,Diagonalization
605,Dialogflow CX development
606,Differential Equations
607,Digital Channel Planning
608,Digital Design
609,Digital Fashion Design
610,Digital Forensics
611,Digital Leadership
612,Digital Marketing
613,Digital Research
614,Digital Strategy
615,Digital Supply Chain
616,Digital Transformation in Fashion
617,Digital marketing KPIs
618,Digital transformation
619,Digitalization in Fashion
620,Directional Drilling
621,Directory Service
622,Diretorios do LDAP
623,Disaster Recovery
624,Discounted Cash Flow
625,Discounted Cash Flow Analysis
626,Discovery-Driven Planning
627,Discriminator
628,Diseno de la experiencia del usuario (UXD)
629,Display and Video Advertising Strategy
630,Distributed Computing
631,Distributed Version Control (DRCS)
632,Distributed Version Control Systems (DVCS)
633,Diverse Leadership
634,Diversity (Business)
635,Diversity and Cultural Bias Training
636,Divide And Conquer Algorithms
637,Dividend Policy
638,Dividends
639,Django (Web Framework)
640,Docker
641,Documents
642,Dog
643,Dolor Assessment
644,Domain Name System (DNS)
645,Double-Entry Bookkeeping System
646,Dropouts
647,Drug Development
648,Drug Discovery
649,Drug Regulations
650,Dupont Analysis
651,Dynamic Programming
652,Dynamical Systems
653,Dyslexia
654,E-Commerce
655,E-Commerce Strategy
656,E-commerce platforms
657,E-commerce store optimization
658,E-invoicing E-way bill
659,EFL
660,EMT
661,ESG
662,ESL
663,ETL Data Pipelines
664,Earned Value Management (EVMT)
665,Economic Analysis
666,Economics
667,Ecosystem Model
668,Ecriture commerciale
669,Editing
670,Education
671,Effective Communication
672,Effective Training
673,Effective Written Communication
674,Effektive Kommunikation
675,Eigenvalues And Eigenvectors
676,Ejecucion del proyecto
677,Electric Vehicles
678,Electronic Circuits
679,Electronic Digital Instrument
680,Electronic Health Records
681,Elevator Pitch
682,Email Marketing
683,Email Writing
684,Email list segmentation
685,Email marketing analytics
686,Email marketing strategy
687,Embedded C
688,Embedded Software
689,Embedded Systems
690,Emergency Medical Technician
691,Emergency Medicine
692,Emotional Intelligence
693,Emotional Strength
694,Emplois de conception UX.
695,Employee Onboarding
696,Employee Relations
697,Empregos em Design de UX
698,Encadrement
699,Encryption Algorithms
700,Encryption Algorithms and Techniques
701,Energy
702,Energy Audits
703,Energy Projects
704,Engineering
705,Engineering management
706,English Grammar
707,English Language
708,English language teaching
709,Enhanced Oil Recovery
710,Ensemble Learning
711,Enterprise Data Warehouse (EDW)
712,Enterprise Software
713,Entrepreneurial Finance
714,Entrepreneurship
715,Entscheidungsfindung
716,Environmental Impacts of Design
717,Environmental Law
718,Environmental Policy
719,Environmental Protection
720,Epidemiology
721,Equities
722,Equity
723,Escrita de negocios
724,Esquema
725,Esquema de pagina
726,Esri
727,Essay Writing
728,Estatuto del proyecto
729,Estimacion de tareas
730,Estimation de la tache
731,Estimation of costs and benefits
732,Estimativa de tarefas
733,Estudo de caso
734,Ethical Hacking
735,Ethical Leadership
736,Ethical Methods
737,Ethical issues of artificial intelligence
738,Ethics
739,Ethics in cybersecurity
740,Ethics of Communication
741,Ethics of Technology
742,Ethique des donnees
743,Etica
744,Etica de datos
745,Etica em Dados
746,Etude de cas
747,Euler'S Totient Function
748,Evaluation
749,Evaluation de symptomes
750,Evolution
751,Examining ideas
752,Execucao de projetos
753,Execution du projet
754,Exit Strategy
755,Expense Control
756,Experience utilisateur (UX)
757,Experience with video production is helpful
758,Experiencia del usuario (UX)
759,Experiencia do usuario (UX)
760,Experiment
761,Explainable AI
762,Exploratory Data Analysis
763,Exploratory Data Analysis (EDA)
764,Exploratory Data Analysis in AWS
765,Extended Reality (XR)
766,Extract Transform Load (ETL)
767,Extract Transform and Load (ETL)
768,"Extraction, Transformation And Loading (ETL)"
769,Facebook Advertising
770,Facial Recognition System
771,Fairness Indicators
772,Fashion Design
773,Fashion E-Commerce
774,Fashion Merchandising
775,Fashion Systems
776,Feature Engineering
777,Federal Tax Returns
778,Feuille de calcul
779,Fiction Writing
780,Fidelidad del cliente
781,Figma
782,File Management
783,Film and Televison Writing
784,Filmmaking
785,Filtering and ordering
786,Finance
787,Financial Accounting
788,Financial Adviser
789,Financial Aid Management
790,Financial Analysis
791,Financial Data Analysis
792,Financial Engineering
793,Financial Management
794,Financial Markets
795,Financial Mismanagement
796,Financial Modeling
797,Financial Ratio
798,Financial Risk
799,Financial Statement
800,Financial Systems
801,Fitness And Nutrition
802,Fixed Income
803,Flask
804,Flight dynamics
805,Flight mechanics
806,Food Marketing
807,Food Safety
808,Food Science
809,For Loop
810,Foreach Loop
811,Forecasting
812,Foreign Policy
813,Forensic Accounting
814,Fourier Analysis
815,Fragestellung
816,Fraud Detection
817,Fraud Investigation
818,Fraud Prevention
819,Front-End Web Development
820,Front-end Development
821,Front-end design
822,Fulfillment and delivery
823,Full Stack Developer
824,Function Approximation
825,Functional API
826,Functional Programming
827,Fundamental Analysis
828,Fundamental Programming Concepts
829,Fundraising
830,Future Forecasting
831,Future Value
832,Futures
833,GCP ACE Certification
834,GCP Infrastructure
835,GPU
836,GST Compliances Return filing
837,GST law
838,GST technical
839,Game Design
840,Game Design Document
841,Game Programming
842,Game Theory
843,Gamification
844,Gap Analysis
845,Gated Recurrent Unit (GRU)
846,General Data Protection Regulation (GDPR)
847,General Statistics
848,Generate Data Protection Regulation (GDPR)
849,Generative AI
850,Generative AI Tools
851,Generative Adversarial Networks
852,Generative Machine Learning
853,Generator
854,Genetic Analysis
855,Genomics
856,Geographic Information System (GIS)
857,Geology
858,Gerenciamento Agile
859,Gerenciamento da qualidade
860,Gerenciamento das partes interessadas
861,Gerenciamento de riscos
862,Gestion Agile
863,Gestion con la metodologia Agile
864,Gestion de calidad
865,Gestion de la qualite
866,Gestion de los interesados
867,Gestion de marcas
868,Gestion de projet
869,Gestion de projets
870,Gestion de proyectos
871,Gestion de riesgos
872,Gestion des partenaires
873,Gestion des parties prenantes
874,Gestion des risques
875,Gestion du changement
876,Ggplot2
877,Git (Software)
878,Git and GitHub
879,Github
880,Goals and Rewards
881,Good clinical practice
882,Google
883,Google Ads Search Advertising
884,Google Adwords
885,Google Analytics
886,Google App Engine (GAE)
887,Google Cloud
888,Google Cloud Platform
889,Google Compute Engine
890,Google DataflowGoogle BigQuery
891,Google Sheets
892,Gradient Descent
893,Grammar
894,Graph Theory
895,Graphic Design
896,Graphical Model
897,Graphics
898,Graphs
899,Graphs Algorithms
900,Gratitude
901,Green Design
902,Grid system
903,Growth Strategies
904,Guitar
905,Guitar chords
906,Guitar scales
907,Gun Violence Epidemiology
908,HR Lifecycle
909,HR Tech
910,HTML
911,HTML and CSS
912,Hanyu Shuiping Kaoshi (HSK)
913,Happiness
914,Hardware Description Language (HDL)
915,Harmony
916,Hash Table
917,Hashtables
918,Health Care
919,Health Economics
920,Health Education
921,Health Informatics
922,Health Information Technology
923,Health Insurance Portability And Accountability Act (HIPAA)
924,Health Law
925,Health Policy
926,Health Transparency and Disclosures
927,Health records
928,Healthcare Administration
929,Herramientas de gestion de eventos e informacion de seguridad (SIEM)
930,Heuristic Evaluation
931,Hierarchical Clustering
932,Higher-Order Function
933,Historical Attacks
934,History
935,Hoja de calculo
936,Holistic Product Lifecyle
937,Hotel Management
938,How to convey meaning and make messages compelling
939,How to launch and develop your SAP career
940,Html5
941,Human Resources (HR)
942,Human Resources Best Practices
943,Human Resources Management
944,Human Rights and Allyship
945,Human-centered coaching
946,Human-level Performance (HLP)
947,Hybrid Multicloud
948,Hypertext Preprocessor (PHP)
949,IBM Cognos Analytics
950,IBM New Collar
951,IBM Power Systems
952,IBM Z
953,INACSL Standards
954,IT Customer Support
955,IT Fundamentals
956,IT security analyst
957,ITIL 4 Foundation topics
958,ITIL Terminogy
959,Iaas PaaS Saas
960,Ideation
961,Identify current vocal behaviors connected to speaking and have techniques to address them.
962,Identifying species
963,Idle (Python)
964,Image Processing
965,Image Segmentation
966,Image-to-Image Translation
967,Immunology
968,Implement Azure security
969,Implement responsible machine learning
970,Implement state-of-charge estimators for lithium-ion battery cells
971,Implement state-of-health estimators for lithium-ion battery cells
972,Implementation of data science techniques in investment decisions
973,Import Data
974,Improvisation
975,Incident Detection and Response
976,Incident Response Playbooks
977,Income Statement
978,Indigenous Studies
979,Inductive Transfer
980,Industrial Internet of Things (IIoT)
981,Industry 4.0
982,Industry Structure
983,Infectious Diseases
984,Inference
985,Influencer Marketing
986,Influencers
987,Influencia
988,Influencing
989,Informatics
990,Information Assurance
991,Information Engineering
992,Information Security (INFOSEC)
993,Information Technology
994,Information Technology (IT) Architecture
995,Information Technology (IT) Management
996,Information Technology (IT) Support
997,Information sharing
998,Innovation
999,Innovation Management
1000,Innovation Pipeline
1001,Innovation Strategies
1002,Insert and Modify Oracle SQL Databases
1003,Inspecting specimens
1004,Instructional Design
1005,Instructional Design Modeling
1006,Instructional System Design
1007,Instrumental Variable
1008,Insurance
1009,Insurance Verification
1010,Integer Programming
1011,Integrals
1012,Integrated Marketing Communications
1013,Integridad de datos
1014,Integridade dos dados
1015,Integrite des donnees
1016,Intellectual Property
1017,Intelligent Systems
1018,Interacting with GitHub
1019,Interactive Storytelling
1020,Intercultural Communication
1021,Interdisciplinary thinking
1022,Interest Rate
1023,Interface de comando
1024,Interfaces
1025,Interfaz de comandos
1026,Internal Control
1027,Internality
1028,International Humanitarian Law
1029,International Law
1030,International Relations
1031,Internet Of Things (IOT)
1032,Interpersonal Communication
1033,Interpretation
1034,Interpreting Prescriptions
1035,Interpreting phylogenetic trees
1036,Intractability
1037,Intrapersonal skills
1038,Intrinsic Function
1039,Intrusion Detection Systems (IDS)
1040,Inventory
1041,Inventory Analysis
1042,Inventory costing methods
1043,Investigacion en UX
1044,Investment
1045,Investment Management
1046,Ipv4
1047,Ipython
1048,Issue Tracking System
1049,JPA
1050,Java
1051,Java Programming
1052,JavaScript
1053,JavaScript coding
1054,Jenkins (Software)
1055,Jinja (Template Engine)
1056,Job Analysis
1057,Job Costing
1058,Job portfolio
1059,Job preparedness
1060,Jobs
1061,Jobs im Bereich UX-Design
1062,Journalism
1063,Jquery
1064,Json
1065,Junior cybersecurity analyst
1066,Junit
1067,Jupyter Notebook
1068,Jupyter notebooks
1069,Justice
1070,K-Means Clustering
1071,Kaggle
1072,Kalkulationstabelle
1073,Kanban
1074,Karriereentwicklung
1075,Kernel Programming
1076,Knowledge of Major Diseases
1077,Komputasi Cloud.
1078,Korean Language
1079,Kotlin
1080,Kotlin Playground
1081,Kubernetes
1082,LLMs
1083,Language
1084,Law
1085,Layanan Pelanggan
1086,Leadership
1087,Leadership And Management
1088,Leadership Development
1089,Leadership Management
1090,Leadership Style
1091,Leading and managing change in organisation
1092,Leading subordinates effectively
1093,Lean Manufacturing
1094,Lean Methods
1095,Lean Six Sigma
1096,Lean Software Development
1097,Lean Startup
1098,Lean Thinking
1099,Learn to assess how climate change impacts financial portfolios and and how to manage climate risk in equity portfolios
1100,Learning
1101,Learning Delivery Methods
1102,Learning Disabilities
1103,Learning Models
1104,Learning To Learn
1105,Learning and Instructional Theories
1106,Lecture
1107,Legal Research
1108,Legal issues of artificial intelligence
1109,Lesson Plan
1110,Lightweight Directory Access Protocol (LDAP)
1111,Limpeza de dados
1112,Limpieza de datos
1113,Linear Algebra
1114,Linear Equation
1115,Linear Programming (LP)
1116,Linear Regression
1117,Linux
1118,Linux Commands
1119,Linux Console
1120,Linux File Systems
1121,LinuxUnix System Administration
1122,Liquid Prescriptions
1123,List Label
1124,Live Looping
1125,Load Balancing
1126,Locality-Sensitive Hashing
1127,Logic Gate
1128,Logiciel Tableau
1129,Logistic Regression
1130,Logistic Regression for Classification
1131,Logistics
1132,Logistics Planning
1133,Long Short Term Memory (LSTM)
1134,Luxury Goods
1135,MIDI programming
1136,ML Algorithms
1137,ML Deployment Challenges
1138,ML Metadata
